departamento,provincia,municipio,viviendas_2012,viviendas_2022
beni,cercado,san ignacio  de moxos,106,187
beni,cercado,san javier,136,224
beni,cercado,trinidad,26314,49397
beni,gral. jose ballivian,san borja,4462,8909
beni,itenez,baures,494,1054
beni,itenez,huacaraje,685,1495
beni,itenez,magdalena,1766,3666
beni,mamore,san joaquin,1089,2016
beni,mamore,san ramon,954,1913
beni,marban,loreto,95,158
beni,marban,san andres,117,205
beni,moxos,san ignacio,2390,5082
beni,vaca diez,guayaramerin,8908,17678
beni,vaca diez,riberalta,19121,40831
beni,yacuma,exaltacion,53,107
beni,yacuma,marban,71,125
beni,yacuma,santa ana de yacuma,76,103
chuquisaca,oropeza,sucre,12280,19446
oruro,cercado,caracollo,2164,4159
oruro,cercado,el choro,1460,1987
oruro,cercado,oruro,88240,169872
oruro,cercado,paria (soracachi),681,1469
oruro,pantaleon dalence,huanuni,6197,8655
oruro,pantaleon dalence,machacamarca,1080,1791
pando,abuna,santa rosa,99,411
pando,madre de dios,puerto gonzalo moreno,418,714
pando,madre de dios,san lorenzo,0,968
pando,madre de dios,sena,370,2028
pando,manuripi,filadelfia,0,548
pando,manuripi,puerto rico,813,2320
pando,nicolas suarez,cobija,13436,24198
pando,nicolas suarez,porvenir,1175,2180
potosi,antonio quijarro,porco,2576,4307
potosi,cornelio saavedra,betanzos,1828,4168
potosi,cornelio saavedra,chaqui,641,947
potosi,jose maria linarez,"caiza ""d""",844,1690
potosi,jose maria linarez,puna,1286,2272
potosi,tomas frias,potosi,51813,90951
potosi,tomas frias,tinguipaya,3549,5446
potosi,tomas frias,urmiri,1615,2013
potosi,tomas frias,yocalla,3010,4399
santa_cruz,andres ibañez,santa cruz,110568,182158
tarija,cercado,tarija,41644,69361
