fecha,codigo_municipio,areas
2022-11-11,10101,1057
2022-11-11,20101,1730
2022-11-11,20105,1019
2022-11-11,30101,1324
2022-11-11,40101,1386
2022-11-11,40102,68
2022-11-11,40103,23
2022-11-11,40104,48
2022-11-11,40201,12
2022-11-11,40601,20
2022-11-11,40602,33
2022-11-11,40603,10
2022-11-11,40701,84
2022-11-11,40702,31
2022-11-11,41001,49
2022-11-11,41101,23
2022-11-11,50101,891
2022-11-11,50102,37
2022-11-11,50103,60
2022-11-11,50104,17
2022-11-11,50301,57
2022-11-11,50302,17
2022-11-11,50303,9
2022-11-11,51101,25
2022-11-11,51102,41
2022-11-11,51201,146
2022-11-11,51202,84
2022-11-11,51203,72
2022-11-11,51401,48
2022-11-11,51402,25
2022-11-11,60101,1175
2022-11-11,60202,30
2022-11-11,60601,11
2022-11-11,70101,2712
2022-11-11,80101,408
2022-11-11,80102,11
2022-11-11,80201,319
2022-11-11,80202,186
2022-11-11,80302,78
2022-11-11,80304,45
2022-11-11,80401,53
2022-11-11,80402,2
2022-11-11,80501,68
2022-11-11,80601,13
2022-11-11,80602,27
2022-11-11,80701,17
2022-11-11,80702,19
2022-11-11,80703,2
2022-11-11,80801,63
2022-11-11,80802,21
2022-11-11,80803,20
2022-11-11,90101,210
2022-11-11,90102,44
2022-11-11,90103,5
2022-11-11,90104,2
2022-11-11,90201,22
2022-11-11,90202,3
2022-11-11,90203,19
2022-11-11,90301,16
2022-11-11,90302,21
2022-11-11,90303,18
2022-11-11,90401,7
2022-11-11,90402,4
2022-11-11,90501,7
2022-11-11,90502,6
2022-11-12,10101,1057
2022-11-12,20101,1780
2022-11-12,20105,1054
2022-11-12,30101,1334
2022-11-12,40101,1386
2022-11-12,40102,68
2022-11-12,40103,23
2022-11-12,40104,48
2022-11-12,40201,14
2022-11-12,40601,20
2022-11-12,40602,33
2022-11-12,40603,10
2022-11-12,40701,84
2022-11-12,40702,31
2022-11-12,41001,49
2022-11-12,41101,23
2022-11-12,50101,891
2022-11-12,50102,37
2022-11-12,50103,60
2022-11-12,50104,17
2022-11-12,50301,57
2022-11-12,50302,19
2022-11-12,50303,9
